327	4	signalfd4
335	4	rt_tgsigqueueinfo
340	4	prlimit64
345	4	sendmmsg
352	4	sched_getattr
360	4	socketpair
364	4	accept4
21	5	mount
120	5	clone
140	5	llseek
142	5	select
163	5	mremap
172	5	prctl
226	5	setxattr
227	5	lsetxattr
228	5	fsetxattr
247	5	io_getevents
257	5	remap_file_pages
275	5	get_mempolicy
279	5	mq_timedsend
280	5	mq_timedreceive
284	5	waitid
286	5	add_key
288	5	keyctl
298	5	fchownat
303	5	linkat
309	5	ppoll
333	5	preadv
334	5	pwritev
336	5	perf_event_open
337	5	recvmmsg
339	5	fanotify_mark
341	5	name_to_handle_at
349	5	kcmp
353	5	renameat2
358	5	execveat
365	5	getsockopt
366	5	setsockopt
117	6	ipc
120	6	clone
192	6	mmap_pgoff
240	6	futex
274	6	mbind
308	6	pselect6
313	6	splice
317	6	move_pages
319	6	epoll_pwait
347	6	process_vm_readv
348	6	process_vm_writev
369	6	sendto
371	6	recvfrom
